S. No.,STATES,year,Small Hydro Power,Wind Power,Bio Power Total,Solar Power Total
1,Andhra Pradesh,2013-2014,221.03,746.1,523.32,135.97
2,Arunachal Pradesh,2013-2014,103.91,,0,1.57
3,Assam,2013-2014,34.11,,0,1.42
4,Bihar,2013-2014,70.7,,102.2,1.66
5,Chhatisgarh,2013-2014,52,,220.83,22.7
6,Goa,2013-2014,0.05,,0,0.08
7,Gujarat,2013-2014,15.6,3365.49,68.98,926.75
8,Haryana,2013-2014,70.1,,126.81,16.72
9,Himachal Pradesh,2013-2014,638.91,,8.2,3.04
10,Jammu and Kashmir,2013-2014,147.53,,0,7.99
11,Jharkhand,2013-2014,4.05,,1.2,17.16
12,Karnataka,2013-2014,1031.66,2318.1,1336.18,36.86
13,Kerala,2013-2014,158.42,35.1,0.72,4.07
14,Madhya Pradesh,2013-2014,86.16,423.4,84.73,349.95
15,Maharashtra,2013-2014,327.43,4095.48,1668.51,251.32
16,Manipur,2013-2014,5.45,,0,0.83
17,Meghalaya,2013-2014,31.03,,13.8,0.82
18,Mizoram,2013-2014,36.47,,0,0.78
19,Nagaland,2013-2014,29.67,,0,1.15
20,Odisha,2013-2014,64.63,,53.34,31.28
21,Punjab,2013-2014,156.2,,303,21.66
22,Rajasthan,2013-2014,23.85,2785.02,119.97,756.25
23,Sikkim,2013-2014,52.11,,0,1.7
24,Tamil Nadu,2013-2014,123.05,7269.59,899.56,108.5
25,Telangana,2013-2014,,,3.41,
26,Tripura,2013-2014,16.01,,0,2.93
27,Uttar Pradesh,2013-2014,25.1,,2057.1,45.68
28,Uttarakhand,2013-2014,174.82,,120.87,11.75
29,West Bengal,2013-2014,98.4,,310.59,17.65
30,Andaman & Nicobar,2013-2014,5.25,,0,5.34
31,Chandigarh,2013-2014,,,0,2.81
32,Dadar & Nagar Haveli,2013-2014,,,0,0
33,Daman & Diu,2013-2014,,,0,0
34,Delhi,2013-2014,,,0,5.67
35,Lakshwadeep,2013-2014,,,0,1.92
36,Pondicherry,2013-2014,,,0,0.09
37,Others,2013-2014,,4.3,158.1,27.87
