S. No.,STATES,year,Small Hydro Power,Wind Power,Bio Power Total,Solar Power Total
1,Andhra Pradesh,2015-2016,232.98,1431.4,548.09,588.84
2,Arunachal Pradesh,2015-2016,104.61,,0,2.19
3,Assam,2015-2016,34.11,,0,2.14
4,Bihar,2015-2016,70.7,,113.2,10.14
5,Chhatisgarh,2015-2016,52,,230.83,119.83
6,Goa,2015-2016,0.05,,0,0.12
7,Gujarat,2015-2016,16.6,3948.62,78.92,1137.82
8,Haryana,2015-2016,73.5,,183.46,23.42
9,Himachal Pradesh,2015-2016,793.31,,8.2,4.07
10,Jammu and Kashmir,2015-2016,156.53,,0,13.15
11,Jharkhand,2015-2016,4.05,,4.3,20.41
12,Karnataka,2015-2016,1217.73,2869.1,1427.83,158.41
13,Kerala,2015-2016,198.92,43.5,0.95,21.16
14,Madhya Pradesh,2015-2016,86.16,2141.09,109.73,783
15,Maharashtra,2015-2016,339.88,4653.78,2020.08,390.88
16,Manipur,2015-2016,5.45,,0,1.61
17,Meghalaya,2015-2016,31.03,,13.8,1.53
18,Mizoram,2015-2016,36.47,,0,1.87
19,Nagaland,2015-2016,30.67,,0,1.56
20,Odisha,2015-2016,64.63,,59.22,70.16
21,Punjab,2015-2016,170.9,,312.8,411.38
22,Rajasthan,2015-2016,23.85,3994.02,119.97,1346.09
23,Sikkim,2015-2016,52.11,,0,1.87
24,Tamil Nadu,2015-2016,123.05,7613.89,926.06,1090.57
25,Telangana,2015-2016,,77.7,162.51,531.98
26,Tripura,2015-2016,16.01,,0,7.95
27,Uttar Pradesh,2015-2016,25.1,,2139.1,185.09
28,Uttarakhand,2015-2016,209.33,,136.49,49.67
29,West Bengal,2015-2016,98.5,,321.09,19.23
30,Andaman & Nicobar,2015-2016,5.25,,0,5.34
31,Chandigarh,2015-2016,,,0,7.62
32,Dadar & Nagar Haveli,2015-2016,,,0,0
33,Daman & Diu,2015-2016,,,0,4
34,Delhi,2015-2016,,,0,15.74
35,Lakshwadeep,2015-2016,,,0,3.02
36,Pondicherry,2015-2016,,,0,0.21
37,Others,2015-2016,,4.3,0,91.84
