S. No.,STATES,year,Small Hydro Power,Wind Power,Bio Power Total,Solar Power Total
1,Andhra Pradesh,2021-2022,162.11,4096.65,566.04,4386.76
2,"Arunachal
Pradesh",2021-2022,131.11,,0,11.23
3,Assam,2021-2022,34.11,,2,117.94
4,Bihar,2021-2022,70.7,,126.02,190.63
5,Chhatisgarh,2021-2022,76,,275,518.08
6,Goa,2021-2022,0.05,,0.34,19.95
7,Gujarat,2021-2022,89.39,9209.22,109.26,7180.03
8,Haryana,2021-2022,73.5,,258,910.63
9,"Himachal
Pradesh",2021-2022,954.11,,10.2,76.16
10,Jammu and Kashmir,2021-2022,144.68,,0,46.93
11,Jharkhand,2021-2022,4.05,,4.3,88.79
12,Karnataka,2021-2022,1280.73,5130.9,1902.15,7590.81
13,Kerala,2021-2022,242.52,62.5,2.5,363.18
14,Ladakh,2021-2022,39.64,,0,7.8
15,Madhya Pradesh,2021-2022,99.71,2519.89,131.33,2717.95
16,Maharashtra,2021-2022,381.08,5012.83,2632.15,2631.02
17,Manipur,2021-2022,5.45,,0,12.25
18,Meghalaya,2021-2022,32.53,,13.8,4.15
19,Mizoram,2021-2022,36.47,,0,7.9
20,Nagaland,2021-2022,30.67,,0,3.04
21,Odisha,2021-2022,106.63,,59.22,451.24
22,Punjab,2021-2022,176.1,,491.65,1100.07
23,Rajasthan,2021-2022,23.85,4326.82,125.08,12564.87
24,Sikkim,2021-2022,52.11,,0,4.68
25,Tamil Nadu,2021-2022,123.05,9866.37,1042.7,5067.18
26,Telangana,2021-2022,90.87,128.1,219.74,4520.48
27,Tripura,2021-2022,16.01,,0,14.89
28,Uttar Pradesh,2021-2022,49.1,,2189.99,2244.43
29,Uttarakhand,2021-2022,218.82,,139.44,573.54
30,West Bengal,2021-2022,98.5,,322.45,166
31,"Andaman &
Nicobar",2021-2022,5.25,,0,29.49
32,Chandigarh,2021-2022,,,0,55.17
33,"Dadar & Nagar
Haveli",2021-2022,,,0,5.46
34,Daman & Diu,2021-2022,,,0,40.72
35,Delhi,2021-2022,,,59,211.12
36,Lakshwadeep,2021-2022,,,0,3.27
37,Pondicherry,2021-2022,,,0,13.69
38,Others,2021-2022,,4.3,0,45.01
