S. No.,STATES,year,Small Hydro Power,Wind Power,Bio Power Total,Solar Power Total
1,Andhra Pradesh,2023-2024,163.31,4096.65,574.39,4584.98
2,Arunachal Pradesh,2023-2024,133.11,,0,11.79
3,Assam,2023-2024,34.11,,2,156.18
4,Bihar,2023-2024,70.7,,140.22,239.23
5,Chhattisgarh,2023-2024,76,,275,1212.39
6,Goa,2023-2024,0.05,,1.94,43.48
7,Gujarat,2023-2024,91.64,11722.72,112.48,13544.88
8,Haryana,2023-2024,73.5,,283.7,1475.72
9,Himachal Pradesh,2023-2024,969.71,,10.2,95.23
10,Jammu and Kashmir,2023-2024,169.93,,0,65.44
11,Jharkhand,2023-2024,4.05,,19.1,162.4
12,Karnataka,2023-2024,1280.73,6019.61,1907.72,8544.68
13,Kerala,2023-2024,276.52,63.5,2.5,1022.79
14,Ladakh,2023-2024,42.99,,0,7.8
15,Madhya Pradesh,2023-2024,123.71,2844.29,134.94,3995.43
16,Maharashtra,2023-2024,382.28,5207.98,2643.19,6249.67
17,Manipur,2023-2024,5.45,,0,13.04
18,Meghalaya,2023-2024,55.03,,13.8,4.24
19,Mizoram,2023-2024,45.47,,0,30.31
20,Nagaland,2023-2024,32.67,,0,3.17
21,Odisha,2023-2024,115.63,,59.22,495.63
22,Punjab,2023-2024,176.1,,567.25,1324.27
23,Rajasthan,2023-2024,23.85,5195.82,125.64,21347.58
24,Sikkim,2023-2024,55.11,,0,7.04
25,Tamil Nadu,2023-2024,123.05,10603.54,1045.45,8211.38
26,Telangana,2023-2024,90.87,128.1,221.67,4758.16
27,Tripura,2023-2024,16.01,,0,18.46
28,Uttar Pradesh,2023-2024,49.1,,2226.14,2920.33
29,Uttarakhand,2023-2024,218.82,,142.24,575.53
30,West Bengal,2023-2024,98.5,,348.36,194.07
31,Andaman & Nicobar,2023-2024,5.25,,0,29.91
32,Chandigarh,2023-2024,,,0,65.52
33,"Dadar & Nagar Haveli/
Daman & Diu",2023-2024,,,0,46.47
34,Delhi,2023-2024,,,84,256.51
35,Lakshadweep,2023-2024,,,0,4.97
36,Pondicherry,2023-2024,,,0,49.91
37,Others,2023-2024,,4.3,0,45.01
