S. No.,STATES,year,Small Hydro Power,Wind Power,Bio Power Total,Solar Power Total
1,Andhra Pradesh,2018-2019,162.11,4090.45,523.59,3173.87
2,Arunachal Pradesh,2018-2019,131.105,,0,9.58
3,Assam,2018-2019,34.11,,0,30.47
4,Bihar,2018-2019,70.7,,122.2,159.33
5,Chhatisgarh,2018-2019,76,,230.83,423.94
6,Goa,2018-2019,0.05,,0,4.04
7,Gujarat,2018-2019,61.3,6073.07,95.03,2478.32
8,Haryana,2018-2019,73.5,,210.09,235.52
9,Himachal Pradesh,2018-2019,860.61,,8.2,29.92
10,Jammu and Kashmir,2018-2019,179.03,,0,36.07
11,Jharkhand,2018-2019,4.05,,4.3,49.52
12,Karnataka,2018-2019,1254.73,4694.9,1809.81,6120.76
13,Kerala,2018-2019,222.02,52.5,0.95,158.74
14,Madhya Pradesh,2018-2019,95.91,2519.89,123.14,1890.93
15,Maharashtra,2018-2019,375.57,4794.13,2556.53,1648.46
16,Manipur,2018-2019,5.45,,0,8.21
17,Meghalaya,2018-2019,32.53,,13.8,3.85
18,Mizoram,2018-2019,36.47,,0,4.73
19,Nagaland,2018-2019,30.67,,0,2.84
20,Odisha,2018-2019,64.625,,59.22,415.58
21,Punjab,2018-2019,173.55,,333.8,918.73
22,Rajasthan,2018-2019,23.85,4299.72,125.13,3364.03
23,Sikkim,2018-2019,52.11,,0,1.88
24,Tamil Nadu,2018-2019,123.05,8968.91,1020.52,2618.71
25,Telangana,2018-2019,90.87,128.1,181.01,3600.38
26,Tripura,2018-2019,16.01,,0,8.52
27,Uttar Pradesh,2018-2019,25.1,,2165.33,1047.43
28,Uttarakhand,2018-2019,214.32,,139.13,317.08
29,West Bengal,2018-2019,98.5,,321.09,88.5
30,Andaman & Nicobar,2018-2019,5.25,,0,11.97
31,Chandigarh,2018-2019,,,0,35.52
32,Dadar & Nagar Haveli,2018-2019,,,0,5.46
33,Daman & Diu,2018-2019,,,0,14.47
34,Delhi,2018-2019,,,52,128.35
35,Lakshwadeep,2018-2019,,,0,3.14
36,Pondicherry,2018-2019,,,0,3.32
37,Others,2018-2019,,4.3,0,45.01
