S. No.,STATES,year,Small Hydro Power,Wind Power,Bio Power Total,Solar Power Total
1,Andhra Pradesh,2016-2017,241.98,3618.85,555.59,1891.98
2,Arunachal Pradesh,2016-2017,104.605,,0,2.22
3,Assam,2016-2017,34.11,,0,13.92
4,Bihar,2016-2017,70.7,,122.2,116.8
5,Chhatisgarh,2016-2017,76,,230.83,177.91
6,Goa,2016-2017,0.05,,0,0.83
7,Gujarat,2016-2017,16.6,5340.62,79.99,1278.19
8,Haryana,2016-2017,73.5,,185.09,89.43
9,Himachal Pradesh,2016-2017,831.81,,8.2,6.46
10,Jammu and Kashmir,2016-2017,158.03,,0,13.66
11,Jharkhand,2016-2017,4.05,,4.3,33.26
12,Karnataka,2016-2017,1225.73,3751.4,1477.83,1045.3
13,Kerala,2016-2017,213.02,51.5,0.95,92.4
14,Madhya Pradesh,2016-2017,86.16,2497.79,109.98,868.21
15,Maharashtra,2016-2017,346.175,4771.33,2118.83,460.69
16,Manipur,2016-2017,5.45,,0,1.68
17,Meghalaya,2016-2017,31.03,,13.8,1.54
18,Mizoram,2016-2017,41.47,,0,2.55
19,Nagaland,2016-2017,30.67,,0,2.34
20,Odisha,2016-2017,64.625,,59.22,93.32
21,Punjab,2016-2017,170.9,,313.8,801.66
22,Rajasthan,2016-2017,23.85,4281.72,125.13,1907.99
23,Sikkim,2016-2017,52.11,,0,1.87
24,Tamil Nadu,2016-2017,123.05,7861.46,926.67,1728.52
25,Telangana,2016-2017,,100.8,162.51,1293.13
26,Tripura,2016-2017,16.01,,0,8.31
27,Uttar Pradesh,2016-2017,25.1,,2144.91,388.81
28,Uttarakhand,2016-2017,209.32,,139.13,242.03
29,West Bengal,2016-2017,98.5,,321.09,38.69
30,Andaman & Nicobar,2016-2017,5.25,,0,6.8
31,Chandigarh,2016-2017,,,0,18.13
32,Dadar & Nagar Haveli,2016-2017,,,0,2.97
33,Daman & Diu,2016-2017,,,0,10.46
34,Delhi,2016-2017,,,16,41.73
35,Lakshwadeep,2016-2017,,,0,2.98
36,Pondicherry,2016-2017,,,0,0.26
37,Others,2016-2017,,4.3,0,95.49
