S. No.,STATES,year,Small Hydro Power,Wind Power,Bio Power Total,Solar Power Total
1,Andhra Pradesh,2020-2021,162.11,4096.65,536.04,4291.34
2,Arunachal Pradesh,2020-2021,131.105,,0,10.16
3,Assam,2020-2021,34.11,,2,51.56
4,Bihar,2020-2021,70.7,,125.7,180.23
5,Chhatisgarh,2020-2021,76,,245.31,445.21
6,Goa,2020-2021,0.05,,0.34,7.56
7,Gujarat,2020-2021,82.69,8561.82,99.87,4469.87
8,Haryana,2020-2021,73.5,,216.75,472.26
9,Himachal Pradesh,2020-2021,936.11,,10.2,50.28
10,Jammu and Kashmir,2020-2021,185.98,,0,42.13
11,Jharkhand,2020-2021,4.05,,4.3,69.86
12,Karnataka,2020-2021,1280.73,4938.6,1901.92,7383.88
13,Kerala,2020-2021,230.02,62.5,2.5,277.4
14,Madhya Pradesh,2020-2021,99.71,2519.89,127.66,2544.71
15,Maharashtra,2020-2021,379.58,5000.33,2632.15,2323.79
16,Manipur,2020-2021,5.45,,0,11.39
17,Meghalaya,2020-2021,32.53,,13.8,3.85
18,Mizoram,2020-2021,36.47,,0,6.98
19,Nagaland,2020-2021,30.67,,0,2.91
20,Odisha,2020-2021,88.63,,59.22,425.53
21,Punjab,2020-2021,173.55,,491.65,982.3
22,Rajasthan,2020-2021,23.85,4326.82,125.08,5925.6
23,Sikkim,2020-2021,52.11,,0,1.94
24,Tamil Nadu,2020-2021,123.05,9608.04,1039.91,4527.47
25,Telangana,2020-2021,90.87,128.1,210.48,3961.54
26,Tripura,2020-2021,16.01,,0,13.56
27,Uttar Pradesh,2020-2021,49.1,,2176.1,1836.27
28,Uttarakhand,2020-2021,214.32,,139.44,380.13
29,West Bengal,2020-2021,98.5,,321.09,162.65
30,Andaman & Nicobar,2020-2021,5.25,,0,29.46
31,Chandigarh,2020-2021,,,0,45.97
32,Dadar & Nagar Haveli,2020-2021,,,0,5.46
33,Daman & Diu,2020-2021,,,0,40.55
34,Delhi,2020-2021,,,52,194.43
35,Lakshwadeep,2020-2021,,,0,3.27
36,Pondicherry,2020-2021,,,0,9.51
37,Others,2020-2021,,4.3,0,45.01
