S. No.,STATES,year,Small Hydro Power,Wind Power,Bio Power Total,Solar Power Total
1,Andhra Pradesh,2024-2025,163.31,4377.15,594.02,5370
2,Arunachal Pradesh,2024-2025,140.61,,0,14.85
3,Assam,2024-2025,34.11,,2,196.54
4,Bihar,2024-2025,70.7,,140.22,328.34
5,Chhattisgarh,2024-2025,76,,285.42,1347.04
6,Goa,2024-2025,0.05,,1.94,56.44
7,Gujarat,2024-2025,106.64,12677.48,122.25,18496.66
8,Haryana,2024-2025,73.5,,311.47,2064.97
9,Himachal Pradesh,2024-2025,1000.71,,10.2,204.26
10,Jammu and Kashmir,2024-2025,189.93,,0,74.49
11,Jharkhand,2024-2025,4.05,,20.14,199.87
12,Karnataka,2024-2025,1284.73,7351.1,1912.95,9679.66
13,Kerala,2024-2025,276.52,71.27,2.5,1538.94
14,Ladakh,2024-2025,45.79,,0,7.8
15,Madhya Pradesh,2024-2025,123.71,3195.15,155.46,5118.38
16,Maharashtra,2024-2025,384.28,5284.61,2998.3,10687.27
17,Manipur,2024-2025,5.45,,0,13.79
18,Meghalaya,2024-2025,55.03,,13.8,4.28
19,Mizoram,2024-2025,45.47,,0,30.39
20,Nagaland,2024-2025,32.67,,0,3.17
21,Odisha,2024-2025,115.63,,64.22,624.44
22,Punjab,2024-2025,176.1,,576.59,1421.43
23,Rajasthan,2024-2025,23.85,5208.75,206.27,28286.47
24,Sikkim,2024-2025,55.11,,0,7.56
25,Tamil Nadu,2024-2025,123.05,11739.91,1046.62,10153.58
26,Telangana,2024-2025,90.87,128.1,221.67,4842.1
27,Tripura,2024-2025,16.01,,0,21.24
28,Uttar Pradesh,2024-2025,49.1,,2309.14,3364.07
29,Uttarakhand,2024-2025,233.82,,148.53,593.07
30,West Bengal,2024-2025,98.5,,351.86,320.62
31,Andaman & Nicobar Islands,2024-2025,5.25,,0,29.91
32,Chandigarh,2024-2025,,,0,78.85
33,"Dadra & Nagar Haveli and
Daman & Diu",2024-2025,,,3.75,48.12
34,Delhi,2024-2025,,,84,313.4
35,Lakshadweep,2024-2025,,,0,4.97
36,Puducherry,2024-2025,,,0,54.51
37,Others,2024-2025,,4.3,0,45.01
