S. No.,STATES,year,Small Hydro Power,Wind Power,Bio Power Total,Solar Power Total
1,Andhra Pradesh,2014-2015,223.23,1031.3,526.49,248.37
2,Arunachal Pradesh,2014-2015,104.61,,0,1.88
3,Assam,2014-2015,34.11,,0,1.72
4,Bihar,2014-2015,70.7,,102.2,1.72
5,Chhatisgarh,2014-2015,52,,220.83,26.7
6,Goa,2014-2015,0.05,,0,0.11
7,Gujarat,2014-2015,16.6,3556.22,78.88,1011.69
8,Haryana,2014-2015,71.5,,157.96,19.68
9,Himachal Pradesh,2014-2015,723.91,,8.2,3.87
10,Jammu and Kashmir,2014-2015,156.53,,0,8.9
11,Jharkhand,2014-2015,4.05,,4.3,17.16
12,Karnataka,2014-2015,1129.73,2638.2,1371.83,83.95
13,Kerala,2014-2015,168.92,35.1,0.72,5.09
14,Madhya Pradesh,2014-2015,86.16,879.69,84.73,561.9
15,Maharashtra,2014-2015,335.43,4445.93,1883.25,363.77
16,Manipur,2014-2015,5.45,,0,1.18
17,Meghalaya,2014-2015,31.03,,13.8,1.07
18,Mizoram,2014-2015,36.47,,0,1.43
19,Nagaland,2014-2015,29.67,,0,1.15
20,Odisha,2014-2015,64.63,,58.62,32.69
21,Punjab,2014-2015,157.4,,312.42,190.62
22,Rajasthan,2014-2015,23.85,3308.52,119.97,1000.23
23,Sikkim,2014-2015,52.11,,0,1.81
24,Tamil Nadu,2014-2015,123.05,7455.09,926.06,156.83
25,Telangana,2014-2015,,,3.41,63.08
26,Tripura,2014-2015,16.01,,0,7.93
27,Uttar Pradesh,2014-2015,25.1,,2076,102.15
28,Uttarakhand,2014-2015,209.32,,125.99,12.05
29,West Bengal,2014-2015,98.5,,313.09,18.05
30,Andaman & Nicobar,2014-2015,5.25,,0,5.34
31,Chandigarh,2014-2015,,,0,5.31
32,Dadar & Nagar Haveli,2014-2015,,,0,0
33,Daman & Diu,2014-2015,,,0,0
34,Delhi,2014-2015,,,0,6.23
35,Lakshwadeep,2014-2015,,,0,1.92
36,Pondicherry,2014-2015,,,0,0.13
37,Others,2014-2015,,4.3,158.1,27.84
