S. No.,STATES,year,Small Hydro Power,Wind Power,Bio Power Total,Solar Power Total
1,Andhra Pradesh,2022-2023,163.31,4096.65,566.03,4534.19
2,Arunachal Pradesh,2022-2023,133.11,,0,11.64
3,Assam,2022-2023,34.11,,2,147.93
4,Bihar,2022-2023,70.7,,126.02,192.88
5,Chhatisgarh,2022-2023,76,,275,948.82
6,Goa,2022-2023,0.05,,0.34,26.49
7,Gujarat,2022-2023,91.64,9978.92,110.73,9254.56
8,Haryana,2022-2023,73.5,,259.43,1029.16
9,Himachal Pradesh,2022-2023,969.71,,10.2,87.49
10,Jammu and Kashmir,2022-2023,146.68,,0,49.44
11,Jharkhand,2022-2023,4.05,,4.3,105.84
12,Karnataka,2022-2023,1280.73,5294.95,1902.15,8241.4
13,Kerala,2022-2023,266.52,62.5,2.5,761.43
14,Ladakh,2022-2023,40.99,,0,7.8
15,Madhya Pradesh,2022-2023,123.71,2844.29,134.94,2802.14
16,Maharashtra,2022-2023,381.08,5012.83,2640.69,4722.9
17,Manipur,2022-2023,5.45,,0,12.28
18,Meghalaya,2022-2023,32.53,,13.8,4.15
19,Mizoram,2022-2023,45.47,,0,28.02
20,Nagaland,2022-2023,32.67,,0,3.04
21,Odisha,2022-2023,115.63,,59.22,453.17
22,Punjab,2022-2023,176.1,,522.27,1167.26
23,Rajasthan,2022-2023,23.85,5193.42,125.08,17055.7
24,Sikkim,2022-2023,55.11,,0,4.69
25,Tamil Nadu,2022-2023,123.05,10017.17,1043.7,6736.43
26,Telangana,2022-2023,90.87,128.1,220.37,4666.03
27,Tripura,2022-2023,16.01,,0,17.6
28,Uttar Pradesh,2022-2023,49.1,,2216.73,2515.22
29,Uttarakhand,2022-2023,218.82,,139.44,575.53
30,West Bengal,2022-2023,98.5,,343.1,179.97
31,Andaman & Nicobar,2022-2023,5.25,,0,29.91
32,Chandigarh,2022-2023,,,0,58.69
33,Dadar & Nagar Haveli,2022-2023,,,0,5.46
34,Daman & Diu,2022-2023,,,0,41.01
35,Delhi,2022-2023,,,84,218.26
36,Lakshadweep,2022-2023,,,0,3.27
37,Pondicherry,2022-2023,,,0,35.53
38,Others,2022-2023,,4.3,0,45.01
